,User id,Club,Genre,Age,Zone géographique,Occupation,Sport,Film,Interactions en ligne,Revenu,Permis de conduire,Motorisé,Que faites vous pendant votre temps libre?,Vous aimez les jeux videos?,vous préférez quelles marques,Que fais tu pendant ton temps libre?,En général quel type d'information as tu besoin?,"Plus globalement, as-tu des projets personnels ?",T’intéresses tu à la politique ?,Vois-tu un intérêt à voter ?,"D’après toi, qu’est-ce qui manque le plus aux jeunes de ton âge?",Vous disposez (plusieurs réponses possible),vous êtes ,combien de voitures disposez vous dans votre famille,j'habite?,Pour me déplacer je prends ,As-tu accès à internet facilement?
0,6234f7b96d818c001e35edc9,sahel,homme,entre 25 34 an,nabeul,entrepreneur,football,science fiction,facebook instagram tik tok,plus der 5000 dtn mois,true,true,sortie entre amis,oui,nike lacoste bos prada,internet tvjeux vidéos sortie entre amis lecture activités associatives activités sportives,sport losirs projets létranger voyage études emplois,projet professionnel voyage,true,true,espaces jeunes lieux où s’informer lieux où demander conseils structure sportives évènements culturels,machine a laver automatique,propiétaire,2,appartement,voiture,true
1,62057143cbad6e0020e11f6e,tunis,femme,entre 18 24 an,jendouba,,,horreur,facebook instagram tik tok,entre 650 1200 dtn mois,false,false,activités sportives tvjeux vidéos internet,oui,chanel saint laurent dior louis vuitton,activités sportives,etudesformations offres demploi,projet detudes voyage,false,false,évènements culturels,congélateur hors celui réfrigérateur,locataire,1,"chez, parent",,true
2,6218aa29a2acb3001fb2cab5,tunis,homme,moins 18 an,tunis,lycée,,horreur,facebook tik tok,entre 3000 5000 dtn mois,,true,activités associatives,non,nike lacoste bos prada,internet,etudesformations,projet professionnel,false,true,évènements culturels,machine a laver semi automatique,locataire,1,,metro,
3,620d56c47db2fa002a6ab6ae,tunis,homme,entre 18 24 an,tunis,,aucun,action,facebook instagram autre,entre 1800 3000 dtn mois,,false,internet tvjeux vidéos,oui,nike lacoste bos prada,activités sportives internet tvjeux vidéos sortie entre amis,métiers etudesformations,voyage projet professionnel,false,false,transport sécurité instance donner avis lieux où s’informer structure sportives espaces jeunes évènements culturels,machine a laver automatique,locataire,1,,,true
4,627e8554e0f7fe002b52e5af,,,,nabeul,luniversité,handball,horreur,tik tok instagram facebook snapshat,entre 3000 5000 dtn mois,true,true,activités associatives,oui,nike lacoste bos prada,activités associatives,vie pratique transport horaires d’ouverture différentes structure métiers offres demploi etudesformations,voyage projet detudes projet professionnel,true,true,transport,machine a laver automatique,locataire,1,,metro,
5,622504dba92c39001fc92cd7,"u, monastirienne",homme,entre 25 34 an,sousse,salariée,,comédie,facebook instagram autre,entre 650 1200 dtn mois,true,true,internet,non,nike lacoste bos prada,internet,métiers,projet particulier,false,false,autre,machine a laver semi automatique,locataire,1,,,true
6,623cb801c64084002a03c92f,"club, africain",homme,entre 18 24 an,nabeul,lycée,football,action,facebook instagram,inferieur 400 dtn mois,,false,internet,oui,nike lacoste bos prada,internet activités sportives,etudesformations,projet detudes,false,false,espaces jeunes,climatiseur,locataire,1,"chez, parent",taxi,
7,621b963ba2acb3001fb43b04,,homme,,tunis,,,comédie,tik tok,entre 3000 5000 dtn mois,,false,internet,non,nike lacoste bos prada,internet tvjeux vidéos,offres demploi,voyage,true,false,évènements culturels,congélateur hors celui réfrigérateur,locataire,1,,,false
8,6216179f434532001f137dbc,,femme,,siliana,,,tragédie,autre,entre 3000 5000 dtn mois,,false,lecture,non,chanel saint laurent dior louis vuitton,tvjeux vidéos,santé,projet professionnel,false,false,lieux où demander conseils,machine a laver semi automatique,propiétaire,1,,taxi,false
9,62b8bed3b7925a001fcdc861,tunis,femme,,tunis,lycée,aucun,horreur,facebook,inferieur 400 dtn mois,false,false,internet tvjeux vidéos,non,nike lacoste bos prada,tvjeux vidéos internet,offres demploi etudesformations autre santé métiers,projet professionnel,false,false,transport,sèche linge,locataire,aucune,"chez, parent",bus,false
