S.No,"Je suis un (e)","le revenue de votre famille","Vous disposez (plusieurs réponses possible)","vous êtes ","Etes vous motorisé?","combien de voitures disposez vous dans votre famille",Created at,Updated at,User id
634cf64c427992002a57acab,"Homme ","entre 1200 et 1800 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 07:29:32 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:30:14 GMT+0100 (Central European Standard Time),62081372776c6c002ab7bb8f
6380c3b8168860001f3d0db0,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","1 ",Fri Nov 25 2022 14:31:36 GMT+0100 (Central European Standard Time),Fri Nov 25 2022 18:34:07 GMT+0100 (Central European Standard Time),637f51d81a34f6001f62b60a
637ba6f2b237d7001ff7a394,"Homme ","entre 400 et 650 dtn par mois ","aucun ","propiétaire ","false ","aucune ",Mon Nov 21 2022 17:27:30 GMT+0100 (Central European Standard Time),Mon Nov 21 2022 17:27:59 GMT+0100 (Central European Standard Time),62f3315bbb398e001f64bba8
63668b01966fa6002aa5f3fa,"Femme ","entre 400 et 650 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","1 ",Sat Nov 05 2022 17:10:41 GMT+0100 (Central European Standard Time),Sat Nov 05 2022 17:11:32 GMT+0100 (Central European Standard Time),621006fa434532001f10bf89
636ab3079ccf6f002b7c9f05,"Homme ","entre 650 et 1200 dtn par mois ","un lave vaisselle ","locataire ","false ","aucune ",Tue Nov 08 2022 20:50:31 GMT+0100 (Central European Standard Time),Tue Nov 08 2022 20:51:28 GMT+0100 (Central European Standard Time),62114d638f081f001ff4b9b2
635ee711715f58002a6989fa,"Femme ","entre 650 et 1200 dtn par mois ","un lave vaisselle ","propiétaire ","false ","aucune ",Sun Oct 30 2022 22:05:21 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 22:06:13 GMT+0100 (Central European Standard Time),620ffbc1f513d8001f83b22f
635c4286ce1fa4002af11ff7,"Femme ","inferieur à 400 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","1 ",Fri Oct 28 2022 21:58:46 GMT+0100 (Central European Standard Time),Fri Oct 28 2022 21:59:24 GMT+0100 (Central European Standard Time),62c1bc4e42998d002abf5087
635f70ed966fa6002a607e23,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","1 ",Mon Oct 31 2022 07:53:33 GMT+0100 (Central European Standard Time),Mon Oct 31 2022 07:53:45 GMT+0100 (Central European Standard Time),635e65749ccf6f002b0cab7f
636265ce9ccf6f002b3355fa,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Wed Nov 02 2022 13:42:54 GMT+0100 (Central European Standard Time),Wed Nov 02 2022 13:43:03 GMT+0100 (Central European Standard Time),636264879ccf6f002b334866
637fb0c9fe8333001ffd4258,"Homme ","entre 400 et 650 dtn par mois ","un sèche linge ","locataire ","true ","aucune ",Thu Nov 24 2022 18:58:33 GMT+0100 (Central European Standard Time),Thu Nov 24 2022 18:59:42 GMT+0100 (Central European Standard Time),637fae970cc5f6001f98a580
634e6a97117758002ad18286,"Femme ","inferieur à 400 dtn par mois ","un congélateur hors celui du réfrigérateur ","propiétaire ","false ","aucune ",Tue Oct 18 2022 09:57:59 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 09:59:22 GMT+0100 (Central European Standard Time),62335d5eaf93ec0020cacd86
634cff87427992002a582393,"Homme ","entre 3000 et 5000 dtn par mois ","un climatiseur ","propiétaire ","true ","1 ",Mon Oct 17 2022 08:08:55 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 08:09:49 GMT+0100 (Central European Standard Time),620f7eaa4413240020f15df6
634cf3ecc1caa5002b950cd6,"Homme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","2 ",Mon Oct 17 2022 07:19:24 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:20:36 GMT+0100 (Central European Standard Time),623048d6203e20001fd4b4fb
6351582a96b5a9002a64b3fc,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Thu Oct 20 2022 15:16:10 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 15:17:08 GMT+0100 (Central European Standard Time),6206ac2ecbad6e0020e2739f
634d84c1feb171002bdb5a52,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Mon Oct 17 2022 17:37:21 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 17:37:32 GMT+0100 (Central European Standard Time),62d0077d8a48ff001ee0e73c
6372826531e1d3002b80e2df,"Homme ","entre 650 et 1200 dtn par mois ","un climatiseur ","locataire ","false ","aucune ",Mon Nov 14 2022 19:01:09 GMT+0100 (Central European Standard Time),Mon Nov 14 2022 19:01:45 GMT+0100 (Central European Standard Time),6372751dcc04ac002a3eefd1
634d07add34855002afc62e3,"Homme ","inferieur à 400 dtn par mois ","aucun ","propiétaire ","false ","aucune ",Mon Oct 17 2022 08:43:41 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 08:44:38 GMT+0100 (Central European Standard Time),63284ee8d6facb0020183ff5
634cf22cd2e2ca002b4123ad,"Femme ","entre 1000 et 1800 dtn par mois ","une machine a laver automatique ","locataire ","true ","aucune ",Mon Oct 17 2022 07:11:56 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:12:40 GMT+0100 (Central European Standard Time),63245e57ef35e3002a84f04e
636245b29ccf6f002b31c4e7,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","1 ",Wed Nov 02 2022 11:25:54 GMT+0100 (Central European Standard Time),Wed Nov 02 2022 11:26:22 GMT+0100 (Central European Standard Time),63623f863e3f42002ba02e35
634daa19117758002accc86e,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Mon Oct 17 2022 20:16:41 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 20:16:56 GMT+0100 (Central European Standard Time),634c060edf5acd002aeda7f9
634d45b0d2e2ca002b44ab4d,"Homme ","entre 400 et 650 dtn par mois ","aucun ","locataire ","false ","aucune ",Mon Oct 17 2022 13:08:16 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 13:09:23 GMT+0100 (Central European Standard Time),63497004472127002bbb8c5b
634f1e48eec4a5002a61bcdd,"Femme ","inferieur à 400 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Oct 18 2022 22:44:40 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 22:45:45 GMT+0100 (Central European Standard Time),63073c297a312c0020cedf81
635122ab195edb002aeb807c,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Thu Oct 20 2022 11:27:55 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 11:28:19 GMT+0100 (Central European Standard Time),621f4665cccc1c001f61d395
636f46e1366435001fb65eda,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","true ","1 ",Sat Nov 12 2022 08:10:25 GMT+0100 (Central European Standard Time),Sat Nov 12 2022 08:10:46 GMT+0100 (Central European Standard Time),630a14727a312c0020d9ad1e
6360dd4f9ccf6f002b24ed20,"Homme ","entre 400 et 650 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Nov 01 2022 09:48:15 GMT+0100 (Central European Standard Time),Tue Nov 01 2022 09:49:11 GMT+0100 (Central European Standard Time),632f683fc5a3b1002a6615ca
637d486729651e001fcb5218,"Femme ","entre 400 et 650 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Nov 22 2022 23:08:39 GMT+0100 (Central European Standard Time),Tue Nov 22 2022 23:09:51 GMT+0100 (Central European Standard Time),626a43c50d7189001f504917
637f299a168860001f362e4c,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Thu Nov 24 2022 09:21:46 GMT+0100 (Central European Standard Time),Thu Nov 24 2022 09:21:59 GMT+0100 (Central European Standard Time),637f28c0bc72c2001f61f1e4
6382418dfe8333001f0826ab,"Homme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","1 ",Sat Nov 26 2022 17:40:45 GMT+0100 (Central European Standard Time),Sat Nov 26 2022 17:41:00 GMT+0100 (Central European Standard Time),63823e028f07ee001fa4296c
635cc998017627002a0a5cd1,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","plus que 2 ",Sat Oct 29 2022 07:35:04 GMT+0100 (Central European Standard Time),Sat Oct 29 2022 07:35:36 GMT+0100 (Central European Standard Time),635cc4a1ce1fa4002af3f979
634ce8c7d2e2ca002b409361,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","false ","1 ",Mon Oct 17 2022 06:31:51 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 06:32:13 GMT+0100 (Central European Standard Time),631f3544ef35e3002a69595f
63598a2f8f1b81002a13db3a,"Femme ","plus der 5000 dtn par mois ","une machine a laver semi automatique ","propiétaire ","true ","1 ",Wed Oct 26 2022 20:27:43 GMT+0100 (Central European Standard Time),Wed Oct 26 2022 20:28:03 GMT+0100 (Central European Standard Time),63597c5d8f1b81002a132e97
6383760a0cc5f6001fa93d7b,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Sun Nov 27 2022 15:36:58 GMT+0100 (Central European Standard Time),Sun Nov 27 2022 15:37:51 GMT+0100 (Central European Standard Time),63834caa0cc5f6001fa83a5a
635eb1b6966fa6002a5ad213,"Femme ","entre 1000 et 1800 dtn par mois ","un lave vaisselle ","locataire ","false ","plus que 2 ",Sun Oct 30 2022 18:17:42 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 18:18:30 GMT+0100 (Central European Standard Time),635ead9d966fa6002a5a8d89
6397545170c7bf002a540089,"Homme ","entre 1800 et 3000 dtn par mois ","un lave vaisselle ","locataire ","false ",-,Mon Dec 12 2022 17:18:25 GMT+0100 (Central European Standard Time),Mon Dec 12 2022 17:18:34 GMT+0100 (Central European Standard Time),6397530770c7bf002a53f23d
63985020b8997e002a27567d,"Homme ","plus der 5000 dtn par mois ","aucun ","locataire ","false ","aucune ",Tue Dec 13 2022 11:12:48 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 11:13:22 GMT+0100 (Central European Standard Time),63984ea3b8997e002a274cf9
6398b005a7cb0d002ad83923,"Femme ","plus der 5000 dtn par mois ","un lave vaisselle ","propiétaire ","false ","1 ",Tue Dec 13 2022 18:01:57 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 18:02:13 GMT+0100 (Central European Standard Time),638ef2276ece3e001fc05001
63a0d4bfa7cb0d002a0caa13,"Homme ","inferieur à 400 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Mon Dec 19 2022 22:16:47 GMT+0100 (Central European Standard Time),Mon Dec 19 2022 22:17:47 GMT+0100 (Central European Standard Time),620a1ab8ca15d4001ff4d92e
63a4bd0ffdaea7002aaa7098,"Femme ","entre 1800 et 3000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","1 ",Thu Dec 22 2022 21:24:47 GMT+0100 (Central European Standard Time),Thu Dec 22 2022 21:27:54 GMT+0100 (Central European Standard Time),6208ff10f75cbe001f0a83c7
63a95f60d3648d002a01b20f,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Mon Dec 26 2022 09:46:24 GMT+0100 (Central European Standard Time),Mon Dec 26 2022 09:47:21 GMT+0100 (Central European Standard Time),63a94f47d3648d002a0186ec
636a2fb2966fa6002ac25be4,"Femme ","entre 1000 et 1800 dtn par mois ","un lave vaisselle ","propiétaire ","true ","1 ",Tue Nov 08 2022 11:30:10 GMT+0100 (Central European Standard Time),Tue Nov 08 2022 11:30:58 GMT+0100 (Central European Standard Time),635fb8fd715f58002a715748
634eab37740817002a57ff8a,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Tue Oct 18 2022 14:33:43 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 14:33:49 GMT+0100 (Central European Standard Time),634eaab9fd637f0029b036fb
634d69aaeec4a5002a53f464,"Femme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Mon Oct 17 2022 15:41:46 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 15:42:34 GMT+0100 (Central European Standard Time),6257251144aeab00206989ad
634ff9fa195edb002ae28b4a,"Femme ","entre 1200 et 1800 dtn par mois ","une machine a laver semi automatique ","locataire ","false ","1 ",Wed Oct 19 2022 14:22:02 GMT+0100 (Central European Standard Time),Wed Oct 19 2022 14:23:06 GMT+0100 (Central European Standard Time),6311ff81d7477d002ae85a57
63a409c5fdaea7002aa6992d,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","aucune ",Thu Dec 22 2022 08:39:49 GMT+0100 (Central European Standard Time),Thu Dec 22 2022 08:40:00 GMT+0100 (Central European Standard Time),63a2c84a0de821001f803004
635ea9ca966fa6002a5a5f87,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","aucune ",Sun Oct 30 2022 17:43:54 GMT+0100 (Central European Standard Time),Sun Oct 30 2022 17:44:23 GMT+0100 (Central European Standard Time),635e5a14383242002b6ed157
6366a86c9ccf6f002b5cfa69,"Homme ",-,"un climatiseur ","locataire ","false ","1 ",Sat Nov 05 2022 19:16:12 GMT+0100 (Central European Standard Time),Sat Nov 05 2022 19:16:58 GMT+0100 (Central European Standard Time),6208803d69ce2d0020cfda02
63a2b8b3de542a001ec74b8b,"Femme ","entre 3000 et 5000 dtn par mois ","un chauffage central ","propiétaire ","true ","2 ",Wed Dec 21 2022 08:41:39 GMT+0100 (Central European Standard Time),Wed Dec 21 2022 08:42:27 GMT+0100 (Central European Standard Time),62132072a2acb3001fb05207
636d10b6383242002becddba,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","2 ",Thu Nov 10 2022 15:54:46 GMT+0100 (Central European Standard Time),Thu Nov 10 2022 15:55:32 GMT+0100 (Central European Standard Time),636d0e7a383242002beccbc6
634d7d00117758002acaaa64,"Homme ","inferieur à 400 dtn par mois ","un chauffage central ","locataire ","false ","2 ",Mon Oct 17 2022 17:04:16 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 17:04:38 GMT+0100 (Central European Standard Time),634816edd2e2ca002b1d69ac
6397cb8f57b1d9002ab8b37b,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","true ","aucune ",Tue Dec 13 2022 01:47:11 GMT+0100 (Central European Standard Time),Tue Dec 13 2022 01:47:22 GMT+0100 (Central European Standard Time),6397ca8d57b1d9002ab8b161
634f01256d6572002a2bff96,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","2 ",Tue Oct 18 2022 20:40:21 GMT+0100 (Central European Standard Time),Tue Oct 18 2022 20:40:56 GMT+0100 (Central European Standard Time),62156881a2acb3001fb1cfe3
634d3bf1d34855002afe6e83,"Homme ",-,-,-,"false ",-,Mon Oct 17 2022 12:26:41 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 12:26:51 GMT+0100 (Central European Standard Time),62b984610564d8001f4fe89d
63a2e25c8a9712001fe5e8e8,"Femme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Wed Dec 21 2022 11:39:24 GMT+0100 (Central European Standard Time),Wed Dec 21 2022 11:39:34 GMT+0100 (Central European Standard Time),6376af2218402800209b39be
63ac75a3a7c600002a96637b,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","propiétaire ","false ","aucune ",Wed Dec 28 2022 17:58:11 GMT+0100 (Central European Standard Time),Wed Dec 28 2022 17:58:19 GMT+0100 (Central European Standard Time),63ac72e9a7c600002a9650fa
634cf5d2d2e2ca002b415cf5,"Homme ","plus der 5000 dtn par mois ","un lave vaisselle ","propiétaire ","true ","1 ",Mon Oct 17 2022 07:27:30 GMT+0100 (Central European Standard Time),Mon Oct 17 2022 07:28:30 GMT+0100 (Central European Standard Time),6297b988212aef002b85426e
636828c89ccf6f002b6ace96,"Homme ","entre 650 et 1200 dtn par mois ","un chauffage central ","propiétaire ","true ","1 ",Sun Nov 06 2022 22:36:08 GMT+0100 (Central European Standard Time),Sun Nov 06 2022 22:37:25 GMT+0100 (Central European Standard Time),623c918ac64084002a03b653
63a8c48abf55ec002a092843,"Homme ","plus der 5000 dtn par mois ","une machine a laver automatique ","locataire ","false ","plus que 2 ",Sun Dec 25 2022 22:45:46 GMT+0100 (Central European Standard Time),Sun Dec 25 2022 22:46:15 GMT+0100 (Central European Standard Time),63a8b9a2a7c600002a87c2f2
63516706740817002a6e79e0,"Homme ","entre 3000 et 5000 dtn par mois ","une machine a laver semi automatique ","locataire ","true ","1 ",Thu Oct 20 2022 16:19:34 GMT+0100 (Central European Standard Time),Thu Oct 20 2022 16:20:07 GMT+0100 (Central European Standard Time),62a794f6884e9f001ebb5559
